GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff,Professional_Scientific_Technical,RetailTrade,Accommodation_FoodServices,Administrative _Support_WasteManagement_Remediation,Agriculture_Forestry_Fishing_Hunting,Arts_Entertainment_Recreation,Construction,EducationalServices,Finance_nsurance,HealthCare_SocialAssistance,Information,ManagementCompanies_Enterprises,Manufacturing,Other,PublicAdministration,RealEstate_Rental_Leasing,Transportation_Warehousing,Utilities,WholesaleTrade,Mining_Quarrying_Oil_Gas
90041,2011,25711,28857,1157,583800,5.2,0.11716394635617,21,15,-6,0.115144904954815,0.129012153318791,0.0401994390775943,0.222966656279215,0.00202555313181677,0.0282019320660642,0.0612340292926145,0.015269554378311,0.0450296042380804,0.0747896540978498,0.0411343097538174,0.000623247117482082,0.0232159551262075,0.0987846681209099,0.00233717669055781,0.0442505453412278,0.0151137425989405,0.000934870676223123,0.0395761919601122,0.00015581177937052
90042,2011,23997,63424,1057,431200,7.5,0.153348890010091,17,22,5,0.1,0.130041152263374,0.0337448559670782,0.268312757201646,0.00315500685871056,0.0278463648834019,0.0613168724279835,0.0139917695473251,0.0308641975308642,0.0558299039780521,0.0448559670781893,0.00219478737997257,0.0209876543209877,0.111248285322359,0.00123456790123457,0.0397805212620027,0.0178326474622771,0.000823045267489712,0.0353909465020576,0.000548696844993141
90043,2011,22299,44042,973,428400,7.9,0.209663503019845,18,17,-1,0.0902705814622913,0.120437535981577,0.0254461715601612,0.235693724812896,0.000690846286701209,0.0274035693724813,0.0514680483592401,0.0211859527921704,0.0388025331030512,0.069314910765688,0.0294761082325849,0.00161197466896949,0.0193436960276339,0.160391479562464,0.00172711571675302,0.0465169833045481,0.0275187104202648,0.00138169257340242,0.0309729418537709,0.000345423143350605
90044,2011,16652,88164,942,335800,7.6,0.317329068554058,20,14,-6,0.0613182063749325,0.164235548352242,0.0283630470016207,0.204754186925986,0.00189086980010805,0.0222852512155592,0.0619935170178282,0.015667206915181,0.0226904376012966,0.0788762830902215,0.0186385737439222,0.000945434900054025,0.0179632631010265,0.183144246353323,0.00229605618584549,0.0289032955159373,0.0511885467314965,0.000810372771474878,0.0340356564019449,
90045,2011,38399,40150,1595,705200,5.3,0.111980074719801,104,92,-12,0.147765157936373,0.0762276091992993,0.0345256258122846,0.204215403740747,0.00265581737017574,0.0247499576199356,0.0392721930270667,0.0123749788099678,0.0562807255467028,0.0641916709046731,0.0472396451375939,0.00327739164830197,0.02356331581624,0.0715375487370741,0.00350341865852969,0.0587105159066508,0.0856077301237498,0.000395547267898514,0.0431711589534949,0.000734587783240097
90046,2011,34340,49212,1296,929600,7.4,0.154129074209542,104,80,-24,0.122802222829553,0.113327867359023,0.0351188849412408,0.251525917828186,0.00318848501412043,0.0584403753302359,0.029516261273572,0.00997540311560536,0.0266921745467796,0.0422702013300538,0.113965564361848,0.00277853694087638,0.0214539491664389,0.0790744283501868,0.000865445932404118,0.0418602532568097,0.0120706932677416,0.000455497859160062,0.0342078892229207,0.000409948073244056
90047,2011,22056,47550,949,338700,8.1,0.19074658254469,27,16,-11,0.0747326375467079,0.143022806339389,0.0325988918953743,0.221234377013271,0.000901945625563716,0.0240948331400593,0.0479319675299575,0.0173946656358717,0.0288622600180389,0.0725421981703389,0.0220332431387708,0.000386548125241593,0.0291199587682,0.173302409483314,0.00206159000128849,0.0324700425202938,0.0392990593995619,0.000515397500322124,0.0369797706481124,0.000515397500322124
90048,2011,44724,20931,1620,945200,5.3,0.0733839759208829,95,67,-28,0.125840792330915,0.118637784015677,0.0330490969757958,0.19464011440072,0.00185371537524496,0.0396165457338065,0.0251575658068958,0.00810338435464223,0.0414702611090514,0.144589799269107,0.0753667708278163,0.00365446745405434,0.0212382818706636,0.0725597161167311,0.00164186218950267,0.04830252634924,0.00593188920078386,0.00015888988930671,0.0378157936549971,0.000370743075048991
90049,2011,58267,36451,1759,1000001,4,0.0649639241721763,91,87,-4,0.14120315111005,0.066304607304846,0.0224994031988541,0.252984005729291,0.00429696825017904,0.0367032704702793,0.0325256624492719,0.0100262592504178,0.0716758176175698,0.0844473621389353,0.0672594891382192,0.00549057054189544,0.0182621150632609,0.0671998090236333,0.00113392217713058,0.0834328001909764,0.00489376939603724,0.00023872045834328,0.0289448555741227,0.00047744091668656
90056,2011,47560,8108,1565,802400,3.4,0.0448939319190923,11,16,5,0.135228848821082,0.0686546463245492,0.0169902912621359,0.276005547850208,0.00208044382801664,0.0329403606102635,0.0360610263522885,0.0173370319001387,0.0620665742024965,0.0769764216366158,0.0454230235783634,0.00242718446601942,0.0142163661581137,0.0988210818307906,0.00242718446601942,0.0610263522884882,0.0221914008321775,0.000346740638002774,0.0280859916782247,0.000693481276005548
90057,2011,15120,43808,865,325900,8.4,0.347950146092038,37,34,-3,0.120381099523626,0.138534826831466,0.0357924552594309,0.170207287240891,0.00128749839062701,0.0195699755375306,0.0301274623406721,0.0131324835843955,0.0387537015578731,0.149864812668984,0.037466203167246,0.000514999356250805,0.0222737221578473,0.106218617226728,0.00308999613750483,0.0430024462469422,0.0207287240890949,0.000514999356250805,0.0481524398094502,0.000386249517188104
