GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff
91311,2011,36429,37504,1441,507600,5.5,0.0472482935153584,115,110,-5
91316,2011,35902,26586,1437,550600,4.7,0.0993379974422628,64,66,2
91321,2011,23720,34948,1292,381100,6,0.164015108160696,41,28,-13
91324,2011,25857,26853,1281,520700,7.6,0.146910959669311,62,51,-11
91325,2011,30676,32497,1203,543000,5.4,0.155522048189064,50,47,-3
91326,2011,41489,34468,1510,655300,4,0.0628118834861321,23,51,28
91330,2011,2499,794,900,,8.1,0.0503778337531486,,,
91331,2011,18505,97523,1199,333500,7,0.194302882396973,40,29,-11
91335,2011,23135,75267,1163,380100,6.3,0.138307624855514,60,58,-2
91340,2011,19955,34516,1142,333300,8,0.170239888747248,27,22,-5
91342,2011,25012,87707,1280,363200,6.7,0.130080837333394,57,57,0
91343,2011,22783,59886,1098,433600,6.7,0.188741943025081,22,35,13
91344,2011,31691,53134,1527,515000,6.5,0.0709338653216396,49,53,4
91345,2011,25822,18629,1182,366100,5.4,0.0859949541038166,19,25,6
91350,2011,39536,32449,1602,433600,7.2,0.0392307929366082,29,30,1
91351,2011,28822,31596,1340,350600,5.9,0.0669072034434739,40,33,-7
91352,2011,20713,46561,1098,405900,6.9,0.167457743605163,51,46,-5
91354,2011,50507,28330,1868,510800,5.6,0.031768443346276,22,30,8
91355,2011,41469,32104,1706,461400,6.3,0.058964615001246,82,96,14
91356,2011,33420,29905,1198,685300,5.5,0.137067380036783,83,73,-10
91364,2011,44313,25087,1696,719600,5.7,0.0602303982142145,124,94,-30
91367,2011,42243,39503,1703,598900,4,0.0760448573526061,97,177,80
91371,2011,,0,,,,,,,
91381,2011,56119,18597,1741,631600,4.8,0.052158950368339,14,35,21
91384,2011,27229,29617,1403,451900,5.3,0.0501738866191714,11,18,7
91387,2011,36646,39991,1593,420200,7.4,0.0915455977594959,22,37,15
91390,2011,48439,19348,1361,544800,4.9,0.0321997105643994,20,18,-2
91401,2011,22967,38600,1107,570200,7,0.190414507772021,55,43,-12
91402,2011,18359,70676,1081,340200,8.6,0.241892580225253,31,29,-2
91403,2011,44996,23551,1533,768500,4.2,0.0709948622139187,109,124,15
91405,2011,20369,53395,1015,396600,8.1,0.260810937353685,54,31,-23
91406,2011,23887,52955,1105,425700,5.9,0.170031158530828,94,96,2
91411,2011,23326,23520,1156,486400,7.1,0.170365646258503,49,45,-4
91423,2011,43075,30268,1464,798500,6.8,0.0700740055504163,73,77,4
91436,2011,62813,14294,2001,1000001,4.1,0.0455435847208619,95,73,-22
91501,2011,29303,20860,1402,625600,6.2,0.103978906999041,9,20,11
91502,2011,22302,11134,1196,425000,6.4,0.125651158613257,76,61,-15
91504,2011,32887,25370,1328,629400,4.1,0.0743791880173433,33,39,6
91505,2011,41605,29835,1362,573400,5.5,0.0744762862409921,68,89,21
91506,2011,39023,19039,1316,571400,5.1,0.0464835337990441,38,47,9
91601,2011,26933,35830,1187,499700,8.3,0.168266815517723,55,52,-3
91602,2011,39197,17342,1359,683100,10,0.0932418406181525,42,40,-2
91604,2011,50869,27107,1576,866300,7.5,0.0726380639687166,105,94,-11
91605,2011,19677,54052,1022,382800,8.2,0.197402501295049,59,53,-6
91606,2011,20873,45897,1050,409400,8.5,0.182648103361876,39,28,-11
91607,2011,33161,28346,1237,619400,9,0.112925986029775,57,38,-19
91608,2011,,0,,,,,4,3,-1
91702,2011,20697,59967,1199,353600,6.3,0.146497240148748,35,27,-8
91706,2011,19895,77012,1174,323600,7.9,0.161286552745027,57,61,4
91711,2011,29701,35460,1198,576000,5.2,0.0556119571347998,27,32,5
91722,2011,27673,35400,1396,373900,8.3,0.0922598870056497,13,19,6
91723,2011,29471,18753,1143,402100,7.5,0.0947048472244441,36,32,-4
91724,2011,33683,24784,1316,451500,6.7,0.0960700451904454,28,31,3
91731,2011,17150,29279,1025,369900,7.4,0.220840875712968,52,37,-15
91732,2011,18501,62661,1087,370900,7.2,0.21212556454573,26,13,-13
91733,2011,18643,43459,1050,371000,5.4,0.205918221772245,67,49,-18
91740,2011,28321,25235,1384,421200,4.8,0.0740638002773925,32,23,-9
91741,2011,36625,25667,1301,594300,5.1,0.0551681146998091,17,43,26
91744,2011,21754,83241,1199,336900,4.6,0.120613639913024,45,35,-10
91745,2011,30340,55723,1445,483900,4.5,0.0674945713619152,63,60,-3
91746,2011,21252,31680,1298,366200,7.5,0.131818181818182,50,40,-10
91748,2011,25659,47076,1307,500800,3.7,0.105042909338092,95,82,-13
91750,2011,32710,33800,1214,492400,5.6,0.0726331360946746,37,27,-10
91754,2011,25905,32778,1157,488400,4.4,0.135700774910001,51,29,-22
91755,2011,21543,27442,1183,483500,5.4,0.153560236134393,18,18,0
91765,2011,40044,47017,1747,550100,3.6,0.0535763659952783,55,58,3
91766,2011,20522,70842,1133,311300,8.7,0.192272945427854,37,39,2
91767,2011,21610,49461,1117,299600,7.1,0.173914801560826,34,27,-7
91768,2011,18706,35525,949,314500,5.9,0.178409570724842,33,30,-3
91770,2011,20509,61869,1151,454700,5.8,0.142769399860997,38,37,-1
91773,2011,34207,33269,1479,454700,4.3,0.0657368721632751,50,51,1
91775,2011,34335,24677,1263,638800,3.7,0.0624468128216558,12,19,7
91776,2011,21467,37634,1195,493000,4.7,0.146357017590477,43,44,1
91780,2011,31271,34139,1278,580900,3.9,0.0788833884999561,26,45,19
91789,2011,34594,42292,1837,612500,4,0.0485671048898137,77,99,22
91790,2011,25490,44720,1284,415400,8.4,0.0876788908765653,31,32,1
91791,2011,31326,32170,1286,482000,6.6,0.0799191793596518,38,30,-8
91792,2011,29080,30560,1455,389800,6.3,0.0879908376963351,16,24,8
91801,2011,24435,53135,1172,487100,5,0.140980521313635,52,37,-15
91803,2011,25201,30197,1148,533700,4.8,0.10328840613306,34,32,-2
93510,2011,33531,7236,1988,504200,4.5,0.0986733001658375,11,8,-3
93532,2011,43377,2800,1091,309400,4.9,0.0582142857142857,2,1,-1
93534,2011,21589,37983,978,183900,7.5,0.249585340810363,55,35,-20
93535,2011,24861,70008,1206,156900,7.3,0.22544566335276,40,36,-4
93536,2011,34911,69120,1188,274900,4.4,0.120862268518519,34,43,9
93543,2011,21876,12639,1120,185200,6.8,0.132209826726798,11,6,-5
93544,2011,24280,1095,1614,233300,2.9,0.0155251141552511,,1,
93550,2011,19099,72388,1008,169700,10.1,0.275266618776593,45,30,-15
93551,2011,35935,49896,1680,309300,6.4,0.0700657367324034,33,47,14
93552,2011,24302,38178,1367,210600,8.2,0.130546387972131,13,8,-5
93553,2011,24192,2130,845,229100,8.9,0.116901408450704,1,1,0
93563,2011,53611,353,,348100,0,0.118980169971671,,,
93591,2011,21809,6935,1145,161500,7.9,0.213698630136986,1,1,0
90001,2012,16665,54480,950,263100,6.5,0.304735682819383,24,16,-8
90002,2012,17010,48613,940,238300,5.5,0.323719992594573,4,6,2
90003,2012,15430,67226,999,248400,8.3,0.38724600600958,13,14,1
90004,2012,20619,62884,1040,818400,9.2,0.225669486673876,36,35,-1
90005,2012,16875,39592,920,664400,8,0.265811275005052,28,39,11
90006,2012,15223,58849,897,423600,9.6,0.314295909871026,33,38,5
90007,2012,12337,43653,963,408100,7.1,0.38079857054498,35,28,-7
90008,2012,22418,33754,1000,478700,8,0.25128873614979,23,17,-6
90010,2012,35926,3835,1633,562100,5.7,0.173402868318123,75,52,-23
90011,2012,14874,100671,964,291100,6,0.421730190422267,16,17,1
90012,2012,13512,29164,975,402400,2.9,0.252331641750103,43,37,-6
90013,2012,12308,9318,536,315300,8.2,0.485082635758746,71,55,-16
90014,2012,12148,5556,441,334700,7.1,0.483621310295176,71,37,-34
90015,2012,15003,17668,794,441000,8,0.343445777677156,115,89,-26
90016,2012,20580,46779,1023,371500,8.1,0.218538232967785,35,25,-10
90017,2012,15177,23171,823,433000,5.2,0.500927883992922,91,75,-16
90018,2012,17067,48497,954,366300,9.4,0.274429346145122,16,17,1
90019,2012,21624,64613,1113,631300,7.3,0.231795459118134,47,41,-6
90020,2012,22033,41086,1099,564400,9.4,0.178089860293044,37,36,-1
90021,2012,12727,2664,441,458000,10.2,0.412912912912913,83,62,-21
90022,2012,16977,68657,930,315900,8,0.247695063868214,21,21,0
90023,2012,16616,45663,972,307300,5.7,0.328362131266014,26,29,3
90024,2012,15038,50269,1772,1000001,5,0.233284927092244,67,61,-6
90025,2012,41092,42932,1540,664000,5.8,0.113621541041647,155,126,-29
90026,2012,21923,69615,1038,563100,10.1,0.216088486676722,35,36,1
90027,2012,27647,45702,1149,803900,7.3,0.195264977462693,51,47,-4
90028,2012,20479,28254,1060,593300,9,0.281305301904155,64,56,-8
90029,2012,18396,39437,954,492000,9.2,0.262925678930953,24,12,-12
90031,2012,15954,39990,956,357900,8.2,0.316104026006502,15,13,-2
90032,2012,19052,49242,1028,338400,9.9,0.188599163315869,13,14,1
90033,2012,15426,49048,889,326500,10.1,0.332979938019899,8,14,6
90034,2012,32832,59305,1363,664600,6.3,0.161790742770424,64,60,-4
90035,2012,37188,30553,1616,862800,7.7,0.0869636369587275,47,37,-10
90036,2012,47923,35942,1774,957100,6.9,0.11557509320572,93,74,-19
90037,2012,15126,60867,898,282000,10,0.397818193766737,14,14,0
90038,2012,20277,30225,1013,577400,10.5,0.263060380479735,43,45,2
90039,2012,33136,28260,1248,619100,7.1,0.138995046001415,38,31,-7
90040,2012,20032,12692,903,345400,8,0.136542704065553,41,61,20
90041,2012,25071,28571,1199,550000,6.8,0.12337685065276,26,23,-3
90042,2012,22638,62303,1087,394800,8.8,0.168145996179959,25,21,-4
90043,2012,22584,43761,1013,381600,8.8,0.217408194511094,15,32,17
90044,2012,17049,85940,961,296400,7.9,0.322934605538748,15,19,4
90045,2012,40341,40535,1647,685300,5.5,0.107265326261256,84,87,3
90046,2012,35542,49937,1340,880700,7.8,0.162825159701224,97,59,-38
90047,2012,22148,47857,979,306300,9.2,0.198946862527948,16,17,1
90048,2012,45181,20793,1639,960100,6,0.0913769056894147,74,73,-1
90049,2012,59542,36107,1817,1000001,4.1,0.0581881629600908,65,55,-10
90056,2012,45506,8628,1589,749800,6.8,0.0460129809921187,8,8,0
90057,2012,15678,44871,874,301100,9.6,0.346080987720354,40,21,-19
90058,2012,12235,3289,695,182900,11.2,0.530556400121618,57,42,-15
90059,2012,16178,40305,935,244000,9.6,0.346830418062275,5,8,3
90061,2012,17093,26621,1029,265600,10.1,0.304609143157657,9,14,5
90062,2012,15799,31569,993,291500,8.7,0.264341600937629,6,4,-2
90063,2012,16827,53994,964,292500,8.2,0.254435678038301,16,16,0
90064,2012,41788,25894,1615,897400,3.9,0.0955433691202595,70,91,21
90065,2012,24383,45816,1055,469900,5.7,0.186725161515628,36,28,-8
90066,2012,36444,56107,1359,738400,5.8,0.118184896715205,67,71,4
90067,2012,61160,2257,2001,930200,4.5,0.141781125387683,56,64,8
90068,2012,46015,22270,1409,964200,8,0.111719802424787,50,44,-6
90069,2012,52900,20328,1509,722300,6.4,0.108717040535222,83,74,-9
90071,2012,,0,,,,,35,60,25
90073,2012,9770,623,,,7.7,0.526484751203852,,,
90077,2012,67121,8262,1847,1000001,4,0.0256596465746793,16,11,-5
90079,2012,,0,,,,,18,10,-8
90089,2012,2499,3402,925,,2.3,0.0211640211640212,2,,
90090,2012,,0,,,,,,,
90094,2012,63585,5567,2001,635200,11.1,0.0687982755523621,10,20,10
90095,2012,,0,,,,,,,
90201,2012,17736,101647,1058,279700,8.2,0.280618217950358,24,16,-8
90210,2012,53095,21517,1883,1000001,4.2,0.0680392247989961,77,94,17
90211,2012,44938,7889,1743,1000001,5.8,0.0897452148561288,77,67,-10
90212,2012,47336,12306,1955,1000001,8.6,0.0723224443360962,95,73,-22
90220,2012,19129,50947,1003,243800,10.9,0.234066775276267,46,43,-3
90221,2012,17386,51350,1069,248100,9.9,0.260175267770204,17,35,18
90222,2012,18238,30990,989,243100,9.4,0.269377218457567,5,7,2
90230,2012,35381,32508,1433,552600,6.8,0.114033468684631,42,89,47
90232,2012,40929,15248,1363,753300,6.4,0.066303777544596,76,50,-26
90240,2012,27137,25258,1227,460900,4.8,0.0749861430041967,14,28,14
90241,2012,26498,43786,1196,453400,7.9,0.121705567989768,43,30,-13
90242,2012,25671,42763,1206,388800,7.3,0.143652222715899,18,17,-1
90245,2012,47745,16678,1464,765500,4.2,0.0416117040412519,56,57,1
90247,2012,23218,46590,1076,349500,6.4,0.194355011805108,33,31,-2
90248,2012,28539,9904,998,382600,6,0.100060581583199,47,68,21
90249,2012,26931,26790,1018,377600,7.8,0.136618141097424,28,28,0
90250,2012,25749,93925,1029,428900,5.8,0.179558158104871,49,31,-18
90254,2012,58190,19535,1812,1000001,4.6,0.0345021755822882,44,43,-1
90255,2012,17219,75961,927,299400,8.5,0.264978080857282,21,17,-4
90260,2012,23055,35014,1353,395500,8.1,0.155109384817502,18,20,2
90262,2012,17541,69734,1006,294500,7.9,0.224051395302148,13,8,-5
90263,2012,3410,1847,,,1.5,0,,,
90265,2012,54124,17749,2001,1000001,5.2,0.0775254943940504,35,29,-6
90266,2012,67226,35226,1999,1000001,3.2,0.029126213592233,57,49,-8
90270,2012,17478,27443,984,274200,7.8,0.264293262398426,3,3,0
90272,2012,65263,22893,2001,1000001,5.9,0.0444240597562574,39,39,0
90274,2012,66449,25387,2001,1000001,2.2,0.0249734115886083,31,31,0
